Caption;cluster;URL;type;mean_sscd;max_sscd;Index
"""""""A Body Without Spirit"""" Phone Case""";10;https://cdn.shopify.com/s/files/1/0013/9434/3991/products/190807-02274025ab8f3372-c_620x.png?v=1571717185;TM;;;444702818
"""""""Green Sea Horse"""" Beach House Collection Phone Case""";10;https://cdn.shopify.com/s/files/1/0215/7480/products/seahorse_green_grande.jpg?v=1550508218;TM;0.0484981648623943;0.1550960540771484;1867588845
"""Zen Buddha iPhone 6 6s Plus TOUGH Case - Unique Black and White Buddhist Art """"Bliss of Being"""" Zen Meditation iPhone 6 6s Plus case - iPhone 6 6s Plus Tough Case - 1""";10;https://cdn.shopify.com/s/files/1/0155/9389/products/IP5S-Bliss-of-Being-AMZ-1_804a4ae1-0259-441c-8b16-3c9862884034_grande.jpeg?v=1465655415;TM;0.0017354704905301;0.0400536134839057;849815361
*NEW* KING / QUEEN iPhone Case;10;https://cdn.shopify.com/s/files/1/0064/8210/0297/products/product-image-812319645_620x.jpg?v=1541478101;TM;0.0252756141126155;0.0607680492103099;2081594101
1 artTo 25 Phone Cases | LOVE YOURSELF |;10;https://cdn.shopify.com/s/files/1/2354/7099/products/190509-1712459239e16d96-9_300x300.png?v=1557422193;TM;0.0364113040268421;0.0868449807167053;1985075083
Army of Christmas Nutcrackers Barely There iPhone 6 Case;10;https://rlv.zcache.ca/army_of_christmas_nutcrackers_barely_there_iphone_6_case-r97f75b47c20142de942710f242d634ae_zz0f5_324.jpg?rlvnet=1;TM;0.0518887341022491;0.1725116819143295;1473202921
Beautiful Space iPhone Case;10;https://cdn.shopify.com/s/files/1/2038/6329/products/product-image-797153419_300x300.jpg?v=1571608889;TM;0.0905639752745628;0.1909212619066238;1158352434
Big Brows – Juicy Palette • iPhone Case;10;https://cdn.shopify.com/s/files/1/1225/6160/products/mockup-985948b3_grande.jpg?v=1521406192;TM;0.0258883778005838;0.0751043111085891;1892818081
Bitcoin SV Woken Dragon iPhone Case Orange   - zeroconfs;10;https://cdn.shopify.com/s/files/1/0045/8650/4266/products/mockup-702414ab_1024x1024.png?v=1564658361;TM;0.0095418216660618;0.0832147151231765;624074873
Cherry Blossom iPhone Cases;10;https://cdn.shopify.com/s/files/1/2026/1775/products/product-image-517627295_1024x1024.jpg?v=1555741330;TM;0.0096745528280735;0.0830031335353851;727569824
Chic Pink Gerbera Daisy Polka Dot iPhone 6 case;10;http://rlv.zcache.com.au/chic_pink_gerbera_daisy_polka_dot_iphone_6_case-rf97be91de8c64ee99ea9efbb16a508ae_zz0f5_324.jpg?rlvnet=1;TM;0.0473661124706268;0.1509043276309967;1196776035
Classic Rock Is My Second Language Case-Mate iPhone 4 Cases;10;http://rlv.zcache.co.uk/classic_rock_is_my_second_language_case-r30be7f7bfec6482d83e2ea2de58285a8_a460e_8byvr_324.jpg;TM;0.0289488192647695;0.0736234411597251;29897613
Cocoa Quita LA LUX IPhone Cases;10;https://cdn.shopify.com/s/files/1/1871/9643/products/190218-214134597f831042-e_110x110@2x.png?v=1550526356;TM;-0.0053788740187883;0.0622666552662849;2142539535
Don't Panic, It's Organic iPhone 6 Case;10;https://cdn.shopify.com/s/files/1/1761/4361/products/DynamicImageHandler_f402ff56-bdad-40ea-860e-f6d52a5ad69a_1024x1024.png?v=1492954622;TM;-0.0005574786919169;0.0697844251990318;1226696454
Dreamscape iPhone Cases - Mermaid Magic iPhone Case by Jane Small;10;http://render.fineartamerica.com/images/rendered/medium/phone-case/iphone6/images-medium-5/mermaid-magic-jane-small.jpg?transparent=0&backgroundcolor=6071A1&targetx=-32&targety=0&imagewidth=406&imageheight=576&modelwidth=342&modelheight=576&orientation=0;TM;0.0368192419409751;0.1248264536261558;396650183
Edelman GOAT phone case;10;https://cdn.shopify.com/s/files/1/0045/9289/4070/products/YUgeAfRSzbXVUP29jnsrDKnL4Xwkxg-3332-front_300x300.png?v=1565908459;TM;0.0134861338883638;0.0561629086732864;1834890643
Giant Pink Dahlia | iPhone Phone Cases;10;https://cdn.shopify.com/s/files/1/2529/5710/products/190507-042011566df52a30-d_300x300.png?v=1557203037;TM;0.0354857221245765;0.1347425282001495;953323378
Golf- It Takes Balls iPhone 4/4S Case;10;http://rlv.zcache.com/golf_it_takes_balls_iphone_4_4s_case-r791a3a3b7166406486ccf23763c5b02f_vx34d_8byvr_324.jpg;TM;0.0271832048892974;0.0630973055958747;1759249566
Gustave Dore The White Rose iPhone case (blue) iPhone 5 Cases;10;https://rlv.zcache.com/gustave_dore_the_white_rose_iphone_case_blue-r3106429eb174402b9a44f7aa4f57b8a3_80cs8_324.jpg?rlvnet=1;TM;0.020599465817213;0.1383540630340576;1393575594
Harmony iPhone Case by Richard Young;10;http://render.fineartamerica.com/images/rendered/medium/phone-case/iphone6/images/artworkimages/medium/1/harmony-richard-young.jpg?orientation=0;TM;0.0282022356986999;0.1322725415229797;741985365
Howling White Wolf iPhone 6 Case;10;https://rlv.zcache.com/howling_white_wolf_iphonecase-r0157ca64990f4d9e8c455dfd3d477f84_zz0f5_324.jpg?rlvnet=1;TM;-0.009187588468194;0.0185628347098827;484288082
Keep Calm and focus on Alissa iPhone 3 Tough Cover;10;http://rlv.zcache.co.uk/keep_calm_and_focus_on_alissa_iphone_3_tough_cover-rec765440b9324ee2be4c570ff9696f05_a460t_8byvr_324.jpg;TM;0.0818502753973007;0.1656022071838379;692722001
