;Caption;URL;type;mean_sscd;max_sscd;Index
0;The No Limits Businesswoman Podcast;https://onlinecoach1.hipcast.com/albumart/1000_1618923228.jpg;VM;0.839282631874084;0.846736550331115;1030727993
1;Full-body U-Zip front opening - Full-body U-Zip opening at the front for quick packing and unpacking at chttps://eu.gregorypacks.com/on/demandware.static/-/Library-Sites-gregory-content-library/en_SK/v1606883040757/images/seo-content/greg_freefloat-features/product-highlight_freefloat-features_full-body-u-zip-main-opening-front_111594.jpg;TM;0.191364616155624;0.208318829536438;2026642560
2;A mother's impact on her baby hippo;https://bridgepoint.hipcast.com/albumart/1255_1611128821.jpg;VM;0.901676297187805;0.907255232334137;964841345
3;Watch Passion Pit's latest music video, "Lifted Up (1985)";http://cdn.pastemagazine.com/www/articles/LiftedUpPassionPitLead.png?635631739914404090;VM;0.867600440979003;0.872886180877685;567947515
4;Discussions on Buddhist precepts and ethics;https://kargetsi.hipcast.com/albumart/1002_1412114076.jpg;VM;0.836836695671081;0.845614433288574;455502462
5;Sony won't be releasing The Interview on VOD;http://cdn.pastemagazine.com/www/articles/theinterviewlead.jpg?635544845263589183;VM;0.922988891601562;0.925653576850891;851022632
6;First trailer of I Am Chris Farley documentary unveiled;http://cdn.pastemagazine.com/www/articles/chrisfarley_lead.jpg?635714111027175372;VM;0.87388527393341;0.886290073394775;1023892317
7;Review of South Park: The Stick of Truth (multiplatform);http://cdn.pastemagazine.com/www/articles/south%20park%20stick%20of%20truth%20square.jpg?635299191297936569;VM;0.845353484153747;0.870995759963989;603108831
8;X-Men: Days of Future Past director joins Vince Gilligan's Battle Creek pilot;http://cdn.pastemagazine.com/www/articles/xmen_Lead.jpg?635302258433891622;VM;0.839107632637023;0.847272276878356;164368747
9;Conversations with Laura Powers;https://healingpowers.hipcast.com/albumart/1002_1574160114.jpg;VM;0.847408592700958;0.851637363433837;453829331
10;As Punisher joins Daredevil Season 2, the question remains: who will be the next villain?;http://cdn.pastemagazine.com/www/articles/Daredevil.jpg?635715723368404272;VM;0.763948619365692;0.785511791706085;1905554055
11;Aretha Franklin files a $10 million lawsuit over a Patti LaBelle satire story;http://cdn.pastemagazine.com/www/articles/ArethaPattiFightLead.jpg?635336007908858997;VM;0.939374923706054;0.943629026412963;455965495
12;Hawkgirl cast in Arrow/Flash spinoff series for The CW;http://cdn.pastemagazine.com/www/articles/GalleryChar_1900x900_Hawkgirl_52ab8e9dcba602.76541875.jpg?635634067326687289;VM;0.864558219909668;0.868984103202819;2064288135
13;What you need to know about St. Vincent's Apple Music radio show;http://cdn.pastemagazine.com/www/articles/St.%20Vincent%20Lead.jpg?635713041884767471;TM;0.486875146627426;0.641843497753143;846846885
14;Daniel Radcliffe sports a beard and saggy jeans in the trailer for BBC’s The Gamechangers;http://cdn.pastemagazine.com/www/articles/GCDanielRadcliffeLead.png?635769102760421170;VM;0.909646809101104;0.91635525226593;950941792
15;The Happy Scientist Show;https://bitesize.hipcast.com/albumart/1007_1601032671.jpg;VM;0.831919014453887;0.859285712242126;1545085944
16;The Health Mastery Café with Dr. Dave;https://hmcafe.hipcast.com/albumart/1001_1498140766.jpg;VM;0.817330360412597;0.822640419006347;1128280512
17;Listen to The Dead Weather's new track, "Buzzkill(er)";http://cdn.pastemagazine.com/www/articles/deadWeatherSquare.jpg?635503291725589572;VM;0.919771075248718;0.922623813152313;681842839
18;A sequel to Mrs. Doubtfire is in development;http://cdn.pastemagazine.com/www/articles/Doubtfire_Lead.jpg?635336088645615725;VM;0.931803584098815;0.934754610061645;571535772
19;DC All Stars Podcast;https://taylornetwork.hipcast.com/albumart/1042_1621207889.jpg;VM;0.736429512500762;0.748118162155151;2083570112
20;35 potential titles for the upcoming Mrs. Doubtfire sequel;http://cdn.pastemagazine.com/www/articles/Doubtfire_Lead.jpg?635333416831236547;VM;0.931001543998718;0.935507118701934;383937662
21;Listen to The Dead Weather's latest single, "Buzzkill(er)";http://cdn.pastemagazine.com/www/articles/deadWeatherSquare.jpg?635503052761724555;VM;0.923840999603271;0.925761580467224;723561227
